,article_title,country,population,region,revision_id,article_quality
142,AKM Fazlul Haque (Bangladeshi politician),Bangladesh,171.2,SOUTH ASIA,1069141674,Stub
143,Abul Hashim,Bangladesh,171.2,SOUTH ASIA,1067903741,C
144,Syed Najmuddin Hashim,Bangladesh,171.2,SOUTH ASIA,1076061150,Start
145,M. Anwar Hossain,Bangladesh,171.2,SOUTH ASIA,1049654323,C
146,Nozir Hossain,Bangladesh,171.2,SOUTH ASIA,1085128926,Start
147,Syed Muhammad Ibrahim,Bangladesh,171.2,SOUTH ASIA,1113135652,Start
148,Abul Kashem,Bangladesh,171.2,SOUTH ASIA,1094440759,C
149,Abul Kashem Khan,Bangladesh,171.2,SOUTH ASIA,1097883330,C
150,Hatem Ali Khan,Bangladesh,171.2,SOUTH ASIA,1085849741,Start
151,Muhammad Hamidullah Khan,Bangladesh,171.2,SOUTH ASIA,1112460308,C
152,Yar Mohammad Khan,Bangladesh,171.2,SOUTH ASIA,1113198175,C
153,Jyotirindra Bodhipriya Larma,Bangladesh,171.2,SOUTH ASIA,1106007965,Stub
154,Manik Lal Ray,Bangladesh,171.2,SOUTH ASIA,1110874529,Stub
155,Mushrefa Mishu,Bangladesh,171.2,SOUTH ASIA,1066093324,Start
156,Fazlul Haque Montu,Bangladesh,171.2,SOUTH ASIA,1107037359,Stub
157,Mujahidul Islam Selim,Bangladesh,171.2,SOUTH ASIA,1111837585,Stub
158,SM Nuruzzaman,Bangladesh,171.2,SOUTH ASIA,1068356533,Stub
159,Shamsul Huda Panchbagi,Bangladesh,171.2,SOUTH ASIA,1100820734,B
160,Muhammad Bayazeed Khan Panni,Bangladesh,171.2,SOUTH ASIA,1112344051,C
161,Ferdous Ahmed Qureshi,Bangladesh,171.2,SOUTH ASIA,1104814058,Start
162,Abdur Rahim (scholar),Bangladesh,171.2,SOUTH ASIA,1112109734,C
163,Habibar Rahman,Bangladesh,171.2,SOUTH ASIA,1045893159,Stub
164,M. M. Rahmatullah,Bangladesh,171.2,SOUTH ASIA,1107693597,C
165,Golam Maula Rony,Bangladesh,171.2,SOUTH ASIA,1113507548,Start
166,Devasish Roy,Bangladesh,171.2,SOUTH ASIA,1112033318,Start
167,Maulana Shakhawat,Bangladesh,171.2,SOUTH ASIA,1067136662,Stub
168,Zahidunnabi Dewan Shamim,Bangladesh,171.2,SOUTH ASIA,1093749046,Start
169,Abul Kalam Shamsuddin,Bangladesh,171.2,SOUTH ASIA,1038585660,Start
170,Badruddoza Ahmed Shuja,Bangladesh,171.2,SOUTH ASIA,1047850212,Stub
171,Mohammad Sultan,Bangladesh,171.2,SOUTH ASIA,1038605974,Start
172,Mohammad Toaha,Bangladesh,171.2,SOUTH ASIA,1046006361,Start
173,Badruddin Umar,Bangladesh,171.2,SOUTH ASIA,1111762930,C
174,Dorjee Wangmo,Bhutan,0.8,SOUTH ASIA,1060085965,Stub
175,Ugyen Dorji (DNT politician),Bhutan,0.8,SOUTH ASIA,1074573786,Start
176,Zangley Dukpa,Bhutan,0.8,SOUTH ASIA,1068932528,Stub
177,Dupthob,Bhutan,0.8,SOUTH ASIA,986218104,Stub
178,Pema Gyamtsho,Bhutan,0.8,SOUTH ASIA,1110797584,Start
179,Choki Gyeltshen,Bhutan,0.8,SOUTH ASIA,967051066,Stub
180,Sherub Gyeltshen,Bhutan,0.8,SOUTH ASIA,1069232338,Start
181,Choida Jamtsho,Bhutan,0.8,SOUTH ASIA,1100668369,Start
182,Rinzin Jamtsho,Bhutan,0.8,SOUTH ASIA,986219619,Stub
183,Kunzang C. Namgyel,Bhutan,0.8,SOUTH ASIA,1115406312,Start
184,Shingkhar Lam,Bhutan,0.8,SOUTH ASIA,1065108391,Start
185,Tshewang Lhamo,Bhutan,0.8,SOUTH ASIA,935053684,Start
186,Kuenga Loday,Bhutan,0.8,SOUTH ASIA,967051092,Stub
187,Dorji Namgyal,Bhutan,0.8,SOUTH ASIA,1101249209,Stub
188,Jigme Namgyal (Bhutan),Bhutan,0.8,SOUTH ASIA,1112477163,C
189,Wangdi Norbu,Bhutan,0.8,SOUTH ASIA,1099185991,Stub
190,Kinga Penjor,Bhutan,0.8,SOUTH ASIA,1029727171,Stub
191,Yeshey Penjor,Bhutan,0.8,SOUTH ASIA,956623702,Start
192,Thakur S. Powdyel,Bhutan,0.8,SOUTH ASIA,1113475126,C
193,Jai Bir Rai,Bhutan,0.8,SOUTH ASIA,1099839823,Start
194,Karma Rangdol,Bhutan,0.8,SOUTH ASIA,1115618373,Stub
